ID_Disponibilidad,Fecha,ID_Operario
DIS0001,1/3/2022,OPE01
DIS0002,1/3/2022,OPE02
DIS0003,1/3/2022,OPE03
DIS0004,1/3/2022,OPE04
DIS0005,1/3/2022,OPE05
DIS0006,1/3/2022,OPE06
DIS0007,1/4/2022,OPE01
DIS0008,1/4/2022,OPE02
DIS0009,1/4/2022,OPE03
DIS0010,1/4/2022,OPE04
DIS0011,1/4/2022,OPE05
DIS0012,1/4/2022,OPE06
DIS0013,1/5/2022,OPE01
DIS0014,1/5/2022,OPE02
DIS0015,1/5/2022,OPE03
DIS0016,1/5/2022,OPE04
DIS0017,1/5/2022,OPE05
DIS0018,1/5/2022,OPE06
DIS0019,1/6/2022,OPE01
DIS0020,1/6/2022,OPE02
DIS0021,1/6/2022,OPE03
DIS0022,1/6/2022,OPE04
DIS0023,1/6/2022,OPE05
DIS0024,1/6/2022,OPE06
DIS0025,1/7/2022,OPE01
DIS0026,1/7/2022,OPE02
DIS0027,1/7/2022,OPE03
DIS0028,1/7/2022,OPE04
DIS0029,1/7/2022,OPE05
DIS0030,1/7/2022,OPE06
DIS0031,1/10/2022,OPE01
DIS0032,1/10/2022,OPE02
DIS0033,1/10/2022,OPE03
DIS0034,1/10/2022,OPE04
DIS0035,1/10/2022,OPE05
DIS0036,1/10/2022,OPE06
DIS0037,1/11/2022,OPE01
DIS0038,1/11/2022,OPE02
DIS0039,1/11/2022,OPE03
DIS0040,1/11/2022,OPE04
DIS0041,1/11/2022,OPE05
DIS0042,1/11/2022,OPE06
DIS0043,1/12/2022,OPE01
DIS0044,1/12/2022,OPE02
DIS0045,1/12/2022,OPE03
DIS0046,1/12/2022,OPE04
DIS0047,1/12/2022,OPE05
DIS0048,1/12/2022,OPE06
DIS0049,1/13/2022,OPE01
DIS0050,1/13/2022,OPE02
DIS0051,1/13/2022,OPE03
DIS0052,1/13/2022,OPE04
DIS0053,1/13/2022,OPE05
DIS0054,1/13/2022,OPE06
DIS0055,1/14/2022,OPE01
DIS0056,1/14/2022,OPE02
DIS0057,1/14/2022,OPE03
DIS0058,1/14/2022,OPE04
DIS0059,1/14/2022,OPE05
DIS0060,1/14/2022,OPE06
DIS0061,1/17/2022,OPE01
DIS0062,1/17/2022,OPE02
DIS0063,1/17/2022,OPE03
DIS0064,1/17/2022,OPE04
DIS0065,1/17/2022,OPE05
DIS0066,1/17/2022,OPE06
DIS0067,1/18/2022,OPE01
DIS0068,1/18/2022,OPE02
DIS0069,1/18/2022,OPE03
DIS0070,1/18/2022,OPE04
DIS0071,1/18/2022,OPE05
DIS0072,1/18/2022,OPE06
DIS0073,1/19/2022,OPE01
DIS0074,1/19/2022,OPE02
DIS0075,1/19/2022,OPE03
DIS0076,1/19/2022,OPE04
DIS0077,1/19/2022,OPE05
DIS0078,1/19/2022,OPE06
DIS0079,1/20/2022,OPE01
DIS0080,1/20/2022,OPE02
DIS0081,1/20/2022,OPE03
DIS0082,1/20/2022,OPE04
DIS0083,1/20/2022,OPE05
DIS0084,1/20/2022,OPE06
DIS0085,1/21/2022,OPE01
DIS0086,1/21/2022,OPE02
DIS0087,1/21/2022,OPE03
DIS0088,1/21/2022,OPE04
DIS0089,1/21/2022,OPE05
DIS0090,1/21/2022,OPE06
DIS0091,1/24/2022,OPE01
DIS0092,1/24/2022,OPE02
DIS0093,1/24/2022,OPE03
DIS0094,1/24/2022,OPE04
DIS0095,1/24/2022,OPE05
DIS0096,1/24/2022,OPE06
DIS0097,1/25/2022,OPE01
DIS0098,1/25/2022,OPE02
DIS0099,1/25/2022,OPE03
DIS0100,1/25/2022,OPE04
DIS0101,1/25/2022,OPE05
DIS0102,1/25/2022,OPE06
DIS0103,1/26/2022,OPE01
DIS0104,1/26/2022,OPE02
DIS0105,1/26/2022,OPE03
DIS0106,1/26/2022,OPE04
DIS0107,1/26/2022,OPE05
DIS0108,1/26/2022,OPE06
DIS0109,1/27/2022,OPE01
DIS0110,1/27/2022,OPE02
DIS0111,1/27/2022,OPE03
DIS0112,1/27/2022,OPE04
DIS0113,1/27/2022,OPE05
DIS0114,1/27/2022,OPE06
DIS0115,1/28/2022,OPE01
DIS0116,1/28/2022,OPE02
DIS0117,1/28/2022,OPE03
DIS0118,1/28/2022,OPE04
DIS0119,1/28/2022,OPE05
DIS0120,1/28/2022,OPE06
DIS0121,2/1/2022,OPE01
DIS0122,2/1/2022,OPE02
DIS0123,2/1/2022,OPE03
DIS0124,2/1/2022,OPE04
DIS0125,2/1/2022,OPE05
DIS0126,2/1/2022,OPE06
DIS0127,2/2/2022,OPE01
DIS0128,2/2/2022,OPE02
DIS0129,2/2/2022,OPE03
DIS0130,2/2/2022,OPE04
DIS0131,2/2/2022,OPE05
DIS0132,2/2/2022,OPE06
DIS0133,2/3/2022,OPE01
DIS0134,2/3/2022,OPE02
DIS0135,2/3/2022,OPE03
DIS0136,2/3/2022,OPE04
DIS0137,2/3/2022,OPE05
DIS0138,2/3/2022,OPE06
DIS0139,2/4/2022,OPE01
DIS0140,2/4/2022,OPE02
DIS0141,2/4/2022,OPE03
DIS0142,2/4/2022,OPE04
DIS0143,2/4/2022,OPE05
DIS0144,2/4/2022,OPE06
DIS0145,2/7/2022,OPE01
DIS0146,2/7/2022,OPE02
DIS0147,2/7/2022,OPE03
DIS0148,2/7/2022,OPE04
DIS0149,2/7/2022,OPE05
DIS0150,2/7/2022,OPE06
DIS0151,2/8/2022,OPE01
DIS0152,2/8/2022,OPE02
DIS0153,2/8/2022,OPE03
DIS0154,2/8/2022,OPE04
DIS0155,2/8/2022,OPE05
DIS0156,2/8/2022,OPE06
DIS0157,2/9/2022,OPE01
DIS0158,2/9/2022,OPE02
DIS0159,2/9/2022,OPE03
DIS0160,2/9/2022,OPE04
DIS0161,2/9/2022,OPE05
DIS0162,2/9/2022,OPE06
DIS0163,2/10/2022,OPE01
DIS0164,2/10/2022,OPE02
DIS0165,2/10/2022,OPE03
DIS0166,2/10/2022,OPE04
DIS0167,2/10/2022,OPE05
DIS0168,2/10/2022,OPE06
DIS0169,2/11/2022,OPE01
DIS0170,2/11/2022,OPE02
DIS0171,2/11/2022,OPE03
DIS0172,2/11/2022,OPE04
DIS0173,2/11/2022,OPE05
DIS0174,2/11/2022,OPE06
DIS0175,2/14/2022,OPE01
DIS0176,2/14/2022,OPE02
DIS0177,2/14/2022,OPE03
DIS0178,2/14/2022,OPE04
DIS0179,2/14/2022,OPE05
DIS0180,2/14/2022,OPE06
DIS0181,2/15/2022,OPE01
DIS0182,2/15/2022,OPE02
DIS0183,2/15/2022,OPE03
DIS0184,2/15/2022,OPE04
DIS0185,2/15/2022,OPE05
DIS0186,2/15/2022,OPE06
DIS0187,2/16/2022,OPE01
DIS0188,2/16/2022,OPE02
DIS0189,2/16/2022,OPE03
DIS0190,2/16/2022,OPE04
DIS0191,2/16/2022,OPE05
DIS0192,2/16/2022,OPE06
DIS0193,2/17/2022,OPE01
DIS0194,2/17/2022,OPE02
DIS0195,2/17/2022,OPE03
DIS0196,2/17/2022,OPE04
DIS0197,2/17/2022,OPE05
DIS0198,2/17/2022,OPE06
DIS0199,2/18/2022,OPE01
DIS0200,2/18/2022,OPE02
DIS0201,2/18/2022,OPE03
DIS0202,2/18/2022,OPE04
DIS0203,2/18/2022,OPE05
DIS0204,2/18/2022,OPE06
DIS0205,2/21/2022,OPE01
DIS0206,2/21/2022,OPE02
DIS0207,2/21/2022,OPE03
DIS0208,2/21/2022,OPE04
DIS0209,2/21/2022,OPE05
DIS0210,2/21/2022,OPE06
DIS0211,2/22/2022,OPE01
DIS0212,2/22/2022,OPE02
DIS0213,2/22/2022,OPE03
DIS0214,2/22/2022,OPE04
DIS0215,2/22/2022,OPE05
DIS0216,2/22/2022,OPE06
DIS0217,2/23/2022,OPE01
DIS0218,2/23/2022,OPE02
DIS0219,2/23/2022,OPE03
DIS0220,2/23/2022,OPE04
DIS0221,2/23/2022,OPE05
DIS0222,2/23/2022,OPE06
DIS0223,2/24/2022,OPE01
DIS0224,2/24/2022,OPE02
DIS0225,2/24/2022,OPE03
DIS0226,2/24/2022,OPE04
DIS0227,2/24/2022,OPE05
DIS0228,2/24/2022,OPE06
DIS0229,2/25/2022,OPE01
DIS0230,2/25/2022,OPE02
DIS0231,2/25/2022,OPE03
DIS0232,2/25/2022,OPE04
DIS0233,2/25/2022,OPE05
DIS0234,2/25/2022,OPE06
DIS0235,2/28/2022,OPE01
DIS0236,2/28/2022,OPE02
DIS0237,2/28/2022,OPE03
DIS0238,2/28/2022,OPE04
DIS0239,2/28/2022,OPE05
DIS0240,2/28/2022,OPE06
DIS0241,3/1/2022,OPE01
DIS0242,3/1/2022,OPE02
DIS0243,3/1/2022,OPE03
DIS0244,3/1/2022,OPE04
DIS0245,3/1/2022,OPE05
DIS0246,3/1/2022,OPE06
DIS0247,3/2/2022,OPE01
DIS0248,3/2/2022,OPE02
DIS0249,3/2/2022,OPE03
DIS0250,3/2/2022,OPE04
DIS0251,3/2/2022,OPE05
DIS0252,3/2/2022,OPE06
DIS0253,3/3/2022,OPE01
DIS0254,3/3/2022,OPE02
DIS0255,3/3/2022,OPE03
DIS0256,3/3/2022,OPE04
DIS0257,3/3/2022,OPE05
DIS0258,3/3/2022,OPE06
DIS0259,3/4/2022,OPE01
DIS0260,3/4/2022,OPE02
DIS0261,3/4/2022,OPE03
DIS0262,3/4/2022,OPE04
DIS0263,3/4/2022,OPE05
DIS0264,3/4/2022,OPE06
DIS0265,3/7/2022,OPE01
DIS0266,3/7/2022,OPE02
DIS0267,3/7/2022,OPE03
DIS0268,3/7/2022,OPE04
DIS0269,3/7/2022,OPE05
DIS0270,3/7/2022,OPE06
DIS0271,3/8/2022,OPE01
DIS0272,3/8/2022,OPE02
DIS0273,3/8/2022,OPE03
DIS0274,3/8/2022,OPE04
DIS0275,3/8/2022,OPE05
DIS0276,3/8/2022,OPE06
DIS0277,3/9/2022,OPE01
DIS0278,3/9/2022,OPE02
DIS0279,3/9/2022,OPE03
DIS0280,3/9/2022,OPE04
DIS0281,3/9/2022,OPE05
DIS0282,3/9/2022,OPE06
DIS0283,3/10/2022,OPE01
DIS0284,3/10/2022,OPE02
DIS0285,3/10/2022,OPE03
DIS0286,3/10/2022,OPE04
DIS0287,3/10/2022,OPE05
DIS0288,3/10/2022,OPE06
DIS0289,3/11/2022,OPE01
DIS0290,3/11/2022,OPE02
DIS0291,3/11/2022,OPE03
DIS0292,3/11/2022,OPE04
DIS0293,3/11/2022,OPE05
DIS0294,3/11/2022,OPE06
DIS0295,3/14/2022,OPE01
DIS0296,3/14/2022,OPE02
DIS0297,3/14/2022,OPE03
DIS0298,3/14/2022,OPE04
DIS0299,3/14/2022,OPE05
DIS0300,3/14/2022,OPE06
DIS0301,3/15/2022,OPE01
DIS0302,3/15/2022,OPE02
DIS0303,3/15/2022,OPE03
DIS0304,3/15/2022,OPE04
